UNKNOWN
version=1
nRows=100
nColumns=4
inDegrees=no
endheader
time	/jointset/Wrist/flexion/value	ECU_post-surgery	ECU_pre-surgery
      0.00000000	    -70.00000021	     -1.34479725	     -0.72348756
      1.00000000	    -68.58585879	     -1.38170104	     -0.72616418
      2.00000000	    -67.17171737	     -1.41709033	     -0.72863198
      3.00000000	    -65.75757595	     -1.45097516	     -0.73089199
      4.00000000	    -64.34343453	     -1.48336192	     -0.73294540
      5.00000000	    -62.92929311	     -1.51425412	     -0.73479371
      6.00000000	    -61.51515170	     -1.54365342	     -0.73643902
      7.00000000	    -60.10101028	     -1.57156687	     -0.73788367
      8.00000000	    -58.68686886	     -1.59800982	     -0.73913017
      9.00000000	    -57.27272744	     -1.62300063	     -0.74018112
     10.00000000	    -55.85858602	     -1.64656090	     -0.74103929
     11.00000000	    -54.44444461	     -1.66871604	     -0.74170754
     12.00000000	    -53.03030319	     -1.68949574	     -0.74218884
     13.00000000	    -51.61616177	     -1.70893437	     -0.74248627
     14.00000000	    -50.20202035	     -1.72707129	     -0.74260300
     15.00000000	    -48.78787893	     -1.74395108	     -0.74254229
     16.00000000	    -47.37373751	     -1.75962363	     -0.74230746
     17.00000000	    -45.95959610	     -1.77414423	     -0.74190194
     18.00000000	    -44.54545468	     -1.78757345	     -0.74132917
     19.00000000	    -43.13131326	     -1.79984038	     -0.74059270
     20.00000000	    -41.71717184	     -1.81132107	     -0.73969608
     21.00000000	    -40.30303042	     -1.82191764	     -0.73864292
     22.00000000	    -38.88888900	     -1.83170964	     -0.73743687
     23.00000000	    -37.47474759	     -1.84078024	     -0.73608159
     24.00000000	    -36.06060617	     -1.84921560	     -0.73458076
     25.00000000	    -34.64646475	     -1.85710411	     -0.73293807
     26.00000000	    -33.23232333	     -1.86453533	     -0.73115721
     27.00000000	    -31.81818191	     -1.87159707	     -0.72924187
     28.00000000	    -30.40404049	     -1.87837604	     -0.72719573
     29.00000000	    -28.98989908	     -1.88495843	     -0.72502244
     30.00000000	    -27.57575766	     -1.89140536	     -0.72272563
     31.00000000	    -26.16161624	     -1.89769364	     -0.72030890
     32.00000000	    -24.74747482	     -1.90378174	     -0.71777581
     33.00000000	    -23.33333340	     -1.90962831	     -0.71512987
     34.00000000	    -21.91919198	     -1.91519162	     -0.71231576
     35.00000000	    -20.50505057	     -1.92042760	     -0.70946034
     36.00000000	    -19.09090915	     -1.92529222	     -0.70650194
     37.00000000	    -17.67676773	     -1.92974167	     -0.70344388
     38.00000000	    -16.26262631	     -1.93373250	     -0.70028939
     39.00000000	    -14.84848489	     -1.93722163	     -0.69704164
     40.00000000	    -13.43434347	     -1.94022295	     -0.69370372
     41.00000000	    -12.02020206	     -1.94240133	     -0.69027864
     42.00000000	    -10.60606064	     -1.94424971	     -0.68676935
     43.00000000	     -9.19191922	     -1.94530252	     -0.68317868
     44.00000000	     -7.77777780	     -1.94564027	     -0.67950938
     45.00000000	     -6.36363638	     -1.94522168	     -0.67576413
     46.00000000	     -4.94949496	     -1.94400592	     -0.67194549
     47.00000000	     -3.53535355	     -1.94195270	     -0.66805594
     48.00000000	     -2.12121213	     -1.93902220	     -0.66409787
     49.00000000	     -0.70707071	     -1.93517516	     -0.66007357
     50.00000000	      0.70707071	     -1.93027514	     -0.65598521
     51.00000000	      2.12121213	     -1.92457709	     -0.65183490
     52.00000000	      3.53535355	     -1.91775012	     -0.64762463
     53.00000000	      4.94949496	     -1.90985472	     -0.64335626
     54.00000000	      6.36363638	     -1.90085408	     -0.63903154
     55.00000000	      7.77777780	     -1.89053253	     -0.63465213
     56.00000000	      9.19191922	     -1.87913316	     -0.63021960
     57.00000000	     10.60606064	     -1.86650036	     -0.62573542
     58.00000000	     12.02020206	     -1.85260084	     -0.62120098
     59.00000000	     13.43434347	     -1.83744273	     -0.61661758
     60.00000000	     14.84848489	     -1.82105550	     -0.61198646
     61.00000000	     16.26262631	     -1.80347056	     -0.60730874
     62.00000000	     17.67676773	     -1.78472107	     -0.60258550
     63.00000000	     19.09090915	     -1.76484194	     -0.59781773
     64.00000000	     20.50505057	     -1.74371063	     -0.59300592
     65.00000000	     21.91919198	     -1.72166078	     -0.58814980
     66.00000000	     23.33333340	     -1.69859669	     -0.58324908
     67.00000000	     24.74747482	     -1.67456050	     -0.57830349
     68.00000000	     26.16161624	     -1.64959584	     -0.57331282
     69.00000000	     27.57575766	     -1.62374776	     -0.56827690
     70.00000000	     28.98989908	     -1.59706262	     -0.56319561
     71.00000000	     30.40404049	     -1.56958803	     -0.55806884
     72.00000000	     31.81818191	     -1.54137272	     -0.55289655
     73.00000000	     33.23232333	     -1.51271872	     -0.54767872
     74.00000000	     34.64646475	     -1.48512140	     -0.54241538
     75.00000000	     36.06060617	     -1.45737150	     -0.53710663
     76.00000000	     37.47474759	     -1.42923412	     -0.53175257
     77.00000000	     38.88888900	     -1.40093061	     -0.52635331
     78.00000000	     40.30303042	     -1.37251067	     -0.52090898
     79.00000000	     41.71717184	     -1.34402679	     -0.51541979
     80.00000000	     43.13131326	     -1.31552981	     -0.50988593
     81.00000000	     44.54545468	     -1.28706808	     -0.50430766
     82.00000000	     45.95959610	     -1.25876824	     -0.49868524
     83.00000000	     47.37373751	     -1.23027099	     -0.49301898
     84.00000000	     48.78787893	     -1.20232709	     -0.48730921
     85.00000000	     50.20202035	     -1.17442850	     -0.48155628
     86.00000000	     51.61616177	     -1.14677546	     -0.47576058
     87.00000000	     53.03030319	     -1.11940789	     -0.46992251
     88.00000000	     54.44444461	     -1.09232544	     -0.46404249
     89.00000000	     55.85858602	     -1.06566535	     -0.45812097
     90.00000000	     57.27272744	     -1.03935079	     -0.45215842
     91.00000000	     58.68686886	     -1.01342563	     -0.44615534
     92.00000000	     60.10101028	     -0.98789435	     -0.44011223
     93.00000000	     61.51515170	     -0.96276077	     -0.43402961
     94.00000000	     62.92929311	     -0.93802808	     -0.42790802
     95.00000000	     64.34343453	     -0.91369882	     -0.42174802
     96.00000000	     65.75757595	     -0.88977483	     -0.41555019
     97.00000000	     67.17171737	     -0.86625732	     -0.40931511
     98.00000000	     68.58585879	     -0.84299049	     -0.40304336
     99.00000000	     70.00000021	     -0.82024794	     -0.39673557
