UNKNOWN
version=1
nRows=100
nColumns=4
inDegrees=no
endheader
time	/jointset/Wrist/flexion/value	AfterSurgery	BeforeSurgery
      0.00000000	    -70.00000021	     -0.01427699	     -0.00737912
      1.00000000	    -68.58585879	     -0.01449841	     -0.00737018
      2.00000000	    -67.17171737	     -0.01470403	     -0.00736020
      3.00000000	    -65.75757595	     -0.01489518	     -0.00734920
      4.00000000	    -64.34343453	     -0.01507305	     -0.00733721
      5.00000000	    -62.92929311	     -0.01523869	     -0.00732424
      6.00000000	    -61.51515170	     -0.01539306	     -0.00731032
      7.00000000	    -60.10101028	     -0.01553698	     -0.00729547
      8.00000000	    -58.68686886	     -0.01567121	     -0.00727970
      9.00000000	    -57.27272744	     -0.01579640	     -0.00726303
     10.00000000	    -55.85858602	     -0.01591316	     -0.00724548
     11.00000000	    -54.44444461	     -0.01602200	     -0.00722706
     12.00000000	    -53.03030319	     -0.01612341	     -0.00720780
     13.00000000	    -51.61616177	     -0.01621781	     -0.00718771
     14.00000000	    -50.20202035	     -0.01630557	     -0.00716681
     15.00000000	    -48.78787893	     -0.01638704	     -0.00714511
     16.00000000	    -47.37373751	     -0.01646252	     -0.00712262
     17.00000000	    -45.95959610	     -0.01653228	     -0.00709937
     18.00000000	    -44.54545468	     -0.01659658	     -0.00707536
     19.00000000	    -43.13131326	     -0.01665564	     -0.00705061
     20.00000000	    -41.71717184	     -0.01670967	     -0.00702514
     21.00000000	    -40.30303042	     -0.01675884	     -0.00699895
     22.00000000	    -38.88888900	     -0.01680332	     -0.00697206
     23.00000000	    -37.47474759	     -0.01684327	     -0.00694448
     24.00000000	    -36.06060617	     -0.01687882	     -0.00691622
     25.00000000	    -34.64646475	     -0.01691010	     -0.00688730
     26.00000000	    -33.23232333	     -0.01693723	     -0.00685773
     27.00000000	    -31.81818191	     -0.01696030	     -0.00682752
     28.00000000	    -30.40404049	     -0.01697943	     -0.00679667
     29.00000000	    -28.98989908	     -0.01699469	     -0.00676521
     30.00000000	    -27.57575766	     -0.01700617	     -0.00673313
     31.00000000	    -26.16161624	     -0.01701395	     -0.00670046
     32.00000000	    -24.74747482	     -0.01701809	     -0.00666719
     33.00000000	    -23.33333340	     -0.01701867	     -0.00663335
     34.00000000	    -21.91919198	     -0.01701574	     -0.00659894
     35.00000000	    -20.50505057	     -0.01700935	     -0.00656396
     36.00000000	    -19.09090915	     -0.01699958	     -0.00652844
     37.00000000	    -17.67676773	     -0.01698645	     -0.00649237
     38.00000000	    -16.26262631	     -0.01697002	     -0.00645577
     39.00000000	    -14.84848489	     -0.01695033	     -0.00641864
     40.00000000	    -13.43434347	     -0.01692743	     -0.00638100
     41.00000000	    -12.02020206	     -0.01690136	     -0.00634284
     42.00000000	    -10.60606064	     -0.01687214	     -0.00630419
     43.00000000	     -9.19191922	     -0.01683982	     -0.00626504
     44.00000000	     -7.77777780	     -0.01680443	     -0.00622541
     45.00000000	     -6.36363638	     -0.01676600	     -0.00618530
     46.00000000	     -4.94949496	     -0.01672457	     -0.00614471
     47.00000000	     -3.53535355	     -0.01668016	     -0.00610367
     48.00000000	     -2.12121213	     -0.01663280	     -0.00606217
     49.00000000	     -0.70707071	     -0.01658252	     -0.00602022
     50.00000000	      0.70707071	     -0.01652935	     -0.00597783
     51.00000000	      2.12121213	     -0.01647331	     -0.00593500
     52.00000000	      3.53535355	     -0.01641443	     -0.00589174
     53.00000000	      4.94949496	     -0.01635274	     -0.00584806
     54.00000000	      6.36363638	     -0.01628825	     -0.00580397
     55.00000000	      7.77777780	     -0.01622100	     -0.00575946
     56.00000000	      9.19191922	     -0.01615100	     -0.00571455
     57.00000000	     10.60606064	     -0.01607828	     -0.00566924
     58.00000000	     12.02020206	     -0.01600287	     -0.00562354
     59.00000000	     13.43434347	     -0.01592478	     -0.00557746
     60.00000000	     14.84848489	     -0.01584404	     -0.00553099
     61.00000000	     16.26262631	     -0.01576066	     -0.00548416
     62.00000000	     17.67676773	     -0.01567468	     -0.00543695
     63.00000000	     19.09090915	     -0.01558612	     -0.00538938
     64.00000000	     20.50505057	     -0.01549499	     -0.00534145
     65.00000000	     21.91919198	     -0.01540132	     -0.00529317
     66.00000000	     23.33333340	     -0.01530512	     -0.00524454
     67.00000000	     24.74747482	     -0.01520643	     -0.00519557
     68.00000000	     26.16161624	     -0.01510527	     -0.00514626
     69.00000000	     27.57575766	     -0.01500165	     -0.00509663
     70.00000000	     28.98989908	     -0.01489559	     -0.00504666
     71.00000000	     30.40404049	     -0.01478713	     -0.00499638
     72.00000000	     31.81818191	     -0.01467628	     -0.00494578
     73.00000000	     33.23232333	     -0.01456306	     -0.00489486
     74.00000000	     34.64646475	     -0.01444750	     -0.00484364
     75.00000000	     36.06060617	     -0.01432962	     -0.00479212
     76.00000000	     37.47474759	     -0.01420944	     -0.00474030
     77.00000000	     38.88888900	     -0.01408698	     -0.00468819
     78.00000000	     40.30303042	     -0.01396228	     -0.00463579
     79.00000000	     41.71717184	     -0.01383534	     -0.00458311
     80.00000000	     43.13131326	     -0.01370619	     -0.00453015
     81.00000000	     44.54545468	     -0.01357486	     -0.00447691
