UNKNOWN
version=1
nRows=100
nColumns=4
inDegrees=no
endheader
time	/jointset/Wrist/flexion/value	AfterSurgery	BeforeSurgery
      0.00000000	    -70.00000021	     94.19336162	     98.04527721
      1.00000000	    -68.58585879	     95.30015625	     98.52739846
      2.00000000	    -67.17171737	     96.37426032	     98.99628007
      3.00000000	    -65.75757595	     97.41238267	     99.45191537
      4.00000000	    -64.34343453	     98.41153578	     99.89430935
      5.00000000	    -62.92929311	     99.36902232	    100.32349893
      6.00000000	    -61.51515170	    100.28243909	    100.73959847
      7.00000000	    -60.10101028	    101.15008586	    101.14274983
      8.00000000	    -58.68686886	    101.97108194	    101.53310880
      9.00000000	    -57.27272744	    102.74496663	    101.91084422
     10.00000000	    -55.85858602	    103.47167314	    102.27613756
     11.00000000	    -54.44444461	    104.15152774	    102.62918245
     12.00000000	    -53.03030319	    104.78524845	    102.97018420
     13.00000000	    -51.61616177	    105.37394254	    103.29935931
     14.00000000	    -50.20202035	    105.91910248	    103.61693498
     15.00000000	    -48.78787893	    106.42259978	    103.92314853
     16.00000000	    -47.37373751	    106.88667629	    104.21824692
     17.00000000	    -45.95959610	    107.31393259	    104.50248618
     18.00000000	    -44.54545468	    107.70731314	    104.77613081
     19.00000000	    -43.13131326	    108.06188504	    105.03945320
     20.00000000	    -41.71717184	    108.39958250	    105.29273309
     21.00000000	    -40.30303042	    108.71384001	    105.53625690
     22.00000000	    -38.88888900	    109.00878745	    105.77031715
     23.00000000	    -37.47474759	    109.28877734	    105.99521184
     24.00000000	    -36.06060617	    109.55834744	    106.21124382
     25.00000000	    -34.64646475	    109.82218107	    106.41872013
     26.00000000	    -33.23232333	    110.08504683	    106.61795144
     27.00000000	    -31.81818191	    110.35163223	    106.80925133
     28.00000000	    -30.40404049	    110.62658575	    106.99293571
     29.00000000	    -28.98989908	    110.91455972	    107.16932217
     30.00000000	    -27.57575766	    111.21876997	    107.33872936
     31.00000000	    -26.16161624	    111.53752436	    107.50147636
     32.00000000	    -24.74747482	    111.86810684	    107.65788208
     33.00000000	    -23.33333340	    112.20785978	    107.80826462
     34.00000000	    -21.91919198	    112.55414107	    107.94402824
     35.00000000	    -20.50505057	    112.90420063	    108.08415486
     36.00000000	    -19.09090915	    113.25531216	    108.21915308
     37.00000000	    -17.67676773	    113.60477720	    108.34933405
     38.00000000	    -16.26262631	    113.94992469	    108.47500550
     39.00000000	    -14.84848489	    114.28810659	    108.59647115
     40.00000000	    -13.43434347	    114.62003211	    108.71403017
     41.00000000	    -12.02020206	    114.92577094	    108.82797674
     42.00000000	    -10.60606064	    115.23433580	    108.93859950
     43.00000000	     -9.19191922	    115.51802332	    109.04618115
     44.00000000	     -7.77777780	    115.78140490	    109.15099797
     45.00000000	     -6.36363638	    116.02181019	    109.25331947
     46.00000000	     -4.94949496	    116.23655557	    109.35340801
     47.00000000	     -3.53535355	    116.42294040	    109.45151843
     48.00000000	     -2.12121213	    116.57824289	    109.54789772
     49.00000000	     -0.70707071	    116.69971546	    109.64278479
     50.00000000	      0.70707071	    116.77866716	    109.73641017
     51.00000000	      2.12121213	    116.83001941	    109.82899577
     52.00000000	      3.53535355	    116.83317557	    109.92075454
     53.00000000	      4.94949496	    116.79113682	    110.01188599
     54.00000000	      6.36363638	    116.70093222	    110.10257596
     55.00000000	      7.77777780	    116.54847320	    110.19300141
     56.00000000	      9.19191922	    116.34778437	    110.28333048
     57.00000000	     10.60606064	    116.08828622	    110.37372247
     58.00000000	     12.02020206	    115.76679930	    110.46432780
     59.00000000	     13.43434347	    115.38262544	    110.55528813
     60.00000000	     14.84848489	    114.93633941	    110.64673648
     61.00000000	     16.26262631	    114.42859243	    110.73879737
     62.00000000	     17.67676773	    113.86010347	    110.83158709
     63.00000000	     19.09090915	    113.23165978	    110.92521301
     64.00000000	     20.50505057	    112.53385278	    111.01969593
     65.00000000	     21.91919198	    111.78660468	    111.11491475
     66.00000000	     23.33333340	    110.98222522	    111.21073860
     67.00000000	     24.74747482	    110.12184240	    111.30704162
     68.00000000	     26.16161624	    109.20666164	    111.40370288
     69.00000000	     27.57575766	    108.23796557	    111.50060626
     70.00000000	     28.98989908	    107.21711337	    111.59764037
     71.00000000	     30.40404049	    106.14553995	    111.69469841
     72.00000000	     31.81818191	    105.02475474	    111.79167815
     73.00000000	     33.23232333	    103.87366372	    111.88848174
     74.00000000	     34.64646475	    102.79433414	    111.98501568
     75.00000000	     36.06060617	    101.70342367	    112.08119889
     76.00000000	     37.47474759	    100.58341867	    112.17694929
     77.00000000	     38.88888900	     99.44857878	    112.27217899
     78.00000000	     40.30303042	     98.30135699	    112.36680972
     79.00000000	     41.71717184	     97.14449126	    112.46076644
     80.00000000	     43.13131326	     95.98069541	    112.55397766
     81.00000000	     44.54545468	     94.81260240	    112.64637570
     82.00000000	     45.95959610	     93.64877565	    112.73789684
     83.00000000	     47.37373751	     92.46160774	    112.82848116
     84.00000000	     48.78787893	     91.30664901	    112.91807231
     85.00000000	     50.20202035	     90.14519602	    113.00661745
     86.00000000	     51.61616177	     88.99184619	    113.09406713
     87.00000000	     53.03030319	     87.84927224	    113.18037524
     88.00000000	     54.44444461	     86.71709155	    113.26549897
     89.00000000	     55.85858602	     85.60597369	    113.34939869
     90.00000000	     57.27272744	     84.50972100	    113.43203785
     91.00000000	     58.68686886	     83.43178914	    113.51338285
     92.00000000	     60.10101028	     82.37254989	    113.59340294
     93.00000000	     61.51515170	     81.33236501	    113.67207015
     94.00000000	     62.92929311	     80.31158636	    113.74935925
     95.00000000	     64.34343453	     79.31055505	    113.82524765
     96.00000000	     65.75757595	     78.32959970	    113.89971529
     97.00000000	     67.17171737	     77.36903417	    113.97274452
     98.00000000	     68.58585879	     76.41498892	    114.04431999
     99.00000000	     70.00000021	     75.49229334	    114.11442854
