UNKNOWN
version=1
nRows=100
nColumns=4
inDegrees=no
endheader
time	/jointset/Wrist/deviation/value	Before Surgery	After Surgery
      0.00000000	    -24.99998207	      4.03475544	     -0.39512473
      1.00000000	    -24.39392178	      4.07951836	     -0.35875088
      2.00000000	    -23.78786149	      4.12336922	     -0.32244781
      3.00000000	    -23.18180121	      4.16655778	     -0.28626061
      4.00000000	    -22.57574092	      4.20910143	     -0.25018763
      5.00000000	    -21.96968063	      4.25101743	     -0.21422709
      6.00000000	    -21.36362034	      4.29232292	     -0.17837686
      7.00000000	    -20.75756006	      4.33324091	     -0.14263433
      8.00000000	    -20.15149977	      4.37309828	     -0.10699666
      9.00000000	    -19.54543948	      4.41274679	     -0.07146074
     10.00000000	    -18.93937920	      4.45178065	     -0.03602320
     11.00000000	    -18.33331891	      4.49028924	     -0.00068034
     12.00000000	    -17.72725862	      4.52828974	      0.03457176
     13.00000000	    -17.12119833	      4.56579933	      0.06973725
     14.00000000	    -16.51513805	      4.60283530	      0.10482056
     15.00000000	    -15.90907776	      4.63941512	      0.13982638
     16.00000000	    -15.30301747	      4.67554533	      0.17474863
     17.00000000	    -14.69695719	      4.71123625	      0.20958511
     18.00000000	    -14.09089690	      4.74649525	      0.24433074
     19.00000000	    -13.48483661	      4.78132892	      0.27897975
     20.00000000	    -12.87877633	      4.81574341	      0.31352596
     21.00000000	    -12.27271604	      4.84974448	      0.34796285
     22.00000000	    -11.66665575	      4.88333745	      0.38228352
     23.00000000	    -11.06059546	      4.91637329	      0.41634699
     24.00000000	    -10.45453518	      4.94932136	      0.45047676
     25.00000000	     -9.84847489	      4.98188456	      0.48446562
     26.00000000	     -9.24241460	      5.01362359	      0.51820424
     27.00000000	     -8.63635432	      5.04525274	      0.55189224
     28.00000000	     -8.03029403	      5.07649810	      0.58524684
     29.00000000	     -7.42423374	      5.10736230	      0.61853533
     30.00000000	     -6.81817345	      5.13784785	      0.65163807
     31.00000000	     -6.21211317	      5.16790054	      0.68448828
     32.00000000	     -5.60605288	      5.19781077	      0.71736360
     33.00000000	     -4.99999259	      5.22720192	      0.74987447
     34.00000000	     -4.39393231	      5.25622629	      0.78216006
     35.00000000	     -3.78787202	      5.28488668	      0.81420987
     36.00000000	     -3.18181173	      5.31318607	      0.84601332
     37.00000000	     -2.57575145	      5.34112766	      0.87755985
     38.00000000	     -1.96969116	      5.36871391	      0.90883871
     39.00000000	     -1.36363087	      5.39594732	      0.93983951
     40.00000000	     -0.75757058	      5.42283179	      0.97055243
     41.00000000	     -0.15151030	      5.44937147	      1.00096761
     42.00000000	      0.45454999	      5.47557074	      1.03107522
     43.00000000	      1.06061028	      5.50143253	      1.06086550
     44.00000000	      1.66667056	      5.52693579	      1.09032887
     45.00000000	      2.27273085	      5.55204208	      1.11945597
     46.00000000	      2.87879114	      5.57671260	      1.14823775
     47.00000000	      3.48485143	      5.60090860	      1.17666541
     48.00000000	      4.09091171	      5.62441847	      1.20455764
     49.00000000	      4.69697200	      5.64753474	      1.23223749
     50.00000000	      5.30303229	      5.67006012	      1.25953914
     51.00000000	      5.90909257	      5.69199551	      1.28656584
     52.00000000	      6.51515286	      5.71322046	      1.31299338
     53.00000000	      7.12121315	      5.73373825	      1.33901208
     54.00000000	      7.72727343	      5.75351125	      1.36486462
     55.00000000	      8.33333372	      5.77250242	      1.39017650
     56.00000000	      8.93939401	      5.79067565	      1.41507440
     57.00000000	      9.54545430	      5.80799588	      1.43955420
     58.00000000	     10.15151458	      5.82442912	      1.46361236
     59.00000000	     10.75757487	      5.83994246	      1.48724584
     60.00000000	     11.36363516	      5.85477401	      1.51045234
     61.00000000	     11.96969544	      5.86839606	      1.53323145
     62.00000000	     12.57575573	      5.88101380	      1.55558379
     63.00000000	     13.18181602	      5.89260128	      1.57751032
     64.00000000	     13.78787631	      5.90313378	      1.59916555
     65.00000000	     14.39393659	      5.91258784	      1.62026853
     66.00000000	     14.99999688	      5.92094139	      1.64095314
     67.00000000	     15.60605717	      5.92817397	      1.66122231
     68.00000000	     16.21211745	      5.93426658	      1.68107942
     69.00000000	     16.81817774	      5.93920154	      1.70052816
     70.00000000	     17.42423803	      5.94286891	      1.71947888
     71.00000000	     18.03029831	      5.94545155	      1.73813330
     72.00000000	     18.63635860	      5.94679908	      1.75635684
     73.00000000	     19.24241889	      5.94692920	      1.77418124
     74.00000000	     19.84847918	      5.94583104	      1.79160850
     75.00000000	     20.45453946	      5.94346362	      1.80860938
     76.00000000	     21.06059975	      5.93988250	      1.82525006
     77.00000000	     21.66666004	      5.93504917	      1.84150149
     78.00000000	     22.27272032	      5.92900848	      1.85741687
     79.00000000	     22.87878061	      5.92148238	      1.87272517
     80.00000000	     23.48484090	      5.91292347	      1.88788128
     81.00000000	     24.09090119	      5.90309567	      1.90264718
     82.00000000	     24.69696147	      5.89200175	      1.91702289
     83.00000000	     25.30302176	      5.87964729	      1.93101065
     84.00000000	     25.90908205	      5.86604806	      1.94462224
     85.00000000	     26.51514233	      5.85124130	      1.95789035
     86.00000000	     27.12120262	      5.83512827	      1.97071108
     87.00000000	     27.72726291	      5.81804197	      1.98341172
     88.00000000	     28.33332319	      5.79964639	      1.99578446
     89.00000000	     28.93938348	      5.78007828	      2.00769732
     90.00000000	     29.54544377	      5.75935135	      2.01928392
     91.00000000	     30.15150406	      5.73747968	      2.03055032
     92.00000000	     30.75756434	      5.71448354	      2.04150829
     93.00000000	     31.36362463	      5.69050947	      2.05229529
     94.00000000	     31.96968492	      5.66527065	      2.06261491
     95.00000000	     32.57574520	      5.63911195	      2.07280189
     96.00000000	     33.18180549	      5.61176531	      2.08275846
     97.00000000	     33.78786578	      5.58370132	      2.09250091
     98.00000000	     34.39392607	      5.55473158	      2.10211113
     99.00000000	     34.99998635	      5.52474720	      2.11147538
