UNKNOWN
version=1
nRows=100
nColumns=4
inDegrees=no
endheader
time	/jointset/Wrist/flexion/value	Before Surgery	After Surgery
      0.00000000	    -70.00000021	     -4.01282056	     -4.47871223
      1.00000000	    -68.58585879	     -4.11154457	     -4.61782436
      2.00000000	    -67.17171737	     -4.20935344	     -4.75458235
      3.00000000	    -65.75757595	     -4.30598518	     -4.88875139
      4.00000000	    -64.34343453	     -4.40128543	     -5.02019783
      5.00000000	    -62.92929311	     -4.49511540	     -5.14879789
      6.00000000	    -61.51515170	     -4.58699110	     -5.27407771
      7.00000000	    -60.10101028	     -4.67681531	     -5.39594628
      8.00000000	    -58.68686886	     -4.76448052	     -5.51429913
      9.00000000	    -57.27272744	     -4.84986720	     -5.62901774
     10.00000000	    -55.85858602	     -4.93275089	     -5.73988391
     11.00000000	    -54.44444461	     -5.01323356	     -5.84701396
     12.00000000	    -53.03030319	     -5.09111215	     -5.95022204
     13.00000000	    -51.61616177	     -5.16623733	     -6.04937910
     14.00000000	    -50.20202035	     -5.23855247	     -6.14445246
     15.00000000	    -48.78787893	     -5.30778291	     -6.23519555
     16.00000000	    -47.37373751	     -5.37393837	     -6.32165073
     17.00000000	    -45.95959610	     -5.43741412	     -6.40425078
     18.00000000	    -44.54545468	     -5.49768496	     -6.48251305
     19.00000000	    -43.13131326	     -5.55485840	     -6.55659283
     20.00000000	    -41.71717184	     -5.60880193	     -6.62641059
     21.00000000	    -40.30303042	     -5.65978095	     -6.69235236
     22.00000000	    -38.88888900	     -5.70786809	     -6.75428625
     23.00000000	    -37.47474759	     -5.75277018	     -6.81236088
     24.00000000	    -36.06060617	     -5.79474887	     -6.86673755
     25.00000000	    -34.64646475	     -5.83348001	     -6.91716859
     26.00000000	    -33.23232333	     -5.86953862	     -6.96430894
     27.00000000	    -31.81818191	     -5.90266147	     -7.00797808
     28.00000000	    -30.40404049	     -5.93296378	     -7.04837605
     29.00000000	    -28.98989908	     -5.96057284	     -7.08571597
     30.00000000	    -27.57575766	     -5.98574297	     -7.12033615
     31.00000000	    -26.16161624	     -6.00860008	     -7.15244523
     32.00000000	    -24.74747482	     -6.02884281	     -7.18182401
     33.00000000	    -23.33333340	     -6.04693131	     -7.20899086
     34.00000000	    -21.91919198	     -6.06316573	     -7.23422081
     35.00000000	    -20.50505057	     -6.07748349	     -7.25740740
     36.00000000	    -19.09090915	     -6.09729136	     -7.28591384
     37.00000000	    -17.67676773	     -6.11125338	     -7.30836053
     38.00000000	    -16.26262631	     -6.12342952	     -7.32876161
     39.00000000	    -14.84848489	     -6.13419298	     -7.34744474
     40.00000000	    -13.43434347	     -6.14331255	     -7.36413358
     41.00000000	    -12.02020206	     -6.15076271	     -7.37875807
     42.00000000	    -10.60606064	     -6.15651063	     -7.39124140
     43.00000000	     -9.19191922	     -6.16051790	     -7.40156989
     44.00000000	     -7.77777780	     -6.16275127	     -7.40935262
     45.00000000	     -6.36363638	     -6.16317465	     -7.41504322
     46.00000000	     -4.94949496	     -6.16175140	     -7.41816542
     47.00000000	     -3.53535355	     -6.15841730	     -7.41872311
     48.00000000	     -2.12121213	     -6.15347439	     -7.41697740
     49.00000000	     -0.70707071	     -6.14641062	     -7.41237692
     50.00000000	      0.70707071	     -6.13718454	     -7.40484247
     51.00000000	      2.12121213	     -6.12628080	     -7.39482158
     52.00000000	      3.53535355	     -6.11338494	     -7.38196327
     53.00000000	      4.94949496	     -6.09837247	     -7.36597487
     54.00000000	      6.36363638	     -6.08123851	     -7.34721304
     55.00000000	      7.77777780	     -6.06244894	     -7.32571211
     56.00000000	      9.19191922	     -6.04155477	     -7.30112123
     57.00000000	     10.60606064	     -6.01850405	     -7.27335487
     58.00000000	     12.02020206	     -5.99348577	     -7.24240397
     59.00000000	     13.43434347	     -5.96964643	     -7.21163803
     60.00000000	     14.84848489	     -5.94442790	     -7.17835743
     61.00000000	     16.26262631	     -5.91716661	     -7.14186609
     62.00000000	     17.67676773	     -5.88790272	     -7.10220478
     63.00000000	     19.09090915	     -5.85656362	     -7.05933036
     64.00000000	     20.50505057	     -5.82337773	     -7.01350331
     65.00000000	     21.91919198	     -5.78832223	     -6.96473446
     66.00000000	     23.33333340	     -5.75111666	     -6.91277859
     67.00000000	     24.74747482	     -5.71234884	     -6.85810999
     68.00000000	     26.16161624	     -5.67166399	     -6.80069052
     69.00000000	     27.57575766	     -5.62896100	     -6.74033124
     70.00000000	     28.98989908	     -5.58499223	     -6.67782628
     71.00000000	     30.40404049	     -5.53966726	     -6.61312834
     72.00000000	     31.81818191	     -5.49274887	     -6.54604455
     73.00000000	     33.23232333	     -5.44431845	     -6.47670184
